Date,ITUB4.SA,PETR4.SA,VALE3.SA
2024-01-02,24.285974502563477,27.692337036132812,62.3103141784668
2024-01-03,24.017906188964844,28.55726432800293,61.98683547973633
2024-01-04,23.8585147857666,28.315380096435547,61.15387725830078
2024-01-05,24.41638946533203,28.381349563598633,60.369441986083984
2024-01-08,24.155555725097656,28.168781280517578,60.0621223449707
2024-01-09,24.141071319580078,27.92689323425293,59.30195236206055
2024-01-10,24.11933708190918,27.670347213745117,58.41238784790039
2024-01-11,24.162809371948242,27.904905319213867,58.71968460083008
2024-01-12,24.191791534423828,27.978199005126953,57.97568130493164
2024-01-15,24.235261917114258,28.27872657775879,57.86246871948242
2024-01-16,23.89472770690918,27.92689323425293,57.11037826538086
2024-01-17,23.90921974182129,27.765640258789062,56.08332824707031
2024-01-18,23.807796478271484,27.655689239501953,55.80027770996094
2024-01-19,23.865755081176758,27.50908660888672,55.07245635986328
2024-01-22,23.474512100219727,27.633699417114258,54.8298454284668
2024-01-23,23.583189010620117,27.978199005126953,55.96201705932617
2024-01-24,23.474512100219727,27.765640258789062,56.528114318847656
2024-01-25,23.423791885375977,28.79182243347168,55.137149810791016
2024-01-26,23.77156639099121,29.290254592895508,56.20463180541992
2024-01-29,23.64839744567871,29.737377166748047,55.93775939941406
2024-01-30,23.496248245239258,29.554134368896484,55.62236785888672
2024-01-31,23.749828338623047,29.876651763916016,54.79750061035156
2024-02-01,23.697383880615234,30.470369338989258,54.54679489135742
2024-02-02,23.733631134033203,30.074552536010742,53.43887710571289
2024-02-05,24.183069229125977,30.20648956298828,52.97792053222656
2024-02-06,25.219703674316406,30.485029220581055,53.916011810302734
2024-02-07,25.038467407226562,30.93214988708496,54.02114486694336
2024-02-08,24.545530319213867,30.682931900024414,53.544010162353516
2024-02-09,24.857240676879883,30.2724552154541,53.30948257446289
2024-02-14,24.857240676879883,30.04523277282715,53.14775085449219
2024-02-15,25.067472457885742,31.005449295043945,52.97792053222656
2024-02-16,25.038467407226562,31.291316986083984,54.99158477783203
2024-02-19,25.313934326171875,31.445247650146484,54.57914352416992
2024-02-20,25.8648738861084,31.115394592285156,53.38227081298828
2024-02-21,25.719886779785156,31.159372329711914,53.786624908447266
2024-02-22,25.573999404907227,30.924819946289062,54.36079788208008
2024-02-23,25.64885711669922,30.712257385253906,54.49018478393555
2024-02-26,25.723722457885742,31.291316986083984,53.1720085144043
2024-02-27,26.03816032409668,31.24733543395996,54.57106399536133
2024-02-28,26.053133010864258,29.6347599029541,53.972618103027344
2024-02-29,25.409292221069336,29.422191619873047,54.17479705810547
2024-03-01,25.519886016845703,29.451513290405273,54.08583450317383
2024-03-04,25.325132369995117,29.378215789794922,53.96453094482422
2024-03-05,25.302663803100586,29.290254592895508,53.25287628173828
2024-03-06,25.579811096191406,29.935283660888672,53.98070526123047
2024-03-07,25.310150146484375,29.605438232421875,53.79470443725586
2024-03-08,25.542360305786133,26.90070915222168,53.38227081298828
2024-03-11,25.66969871520996,26.131071090698242,51.724430084228516
2024-03-12,25.77456283569336,26.988666534423828,51.402156829833984
2024-03-13,26.02923583984375,26.666154861450195,51.73165512084961
2024-03-14,26.014253616333008,26.548877716064453,51.07265853881836
2024-03-15,25.87193489074707,26.62217140197754,50.48969268798828
2024-03-18,25.9768009185791,26.63683319091797,51.452850341796875
2024-03-19,26.014253616333008,26.43893051147461,51.87528991699219
2024-03-20,26.06668472290039,26.90070915222168,52.2216911315918
2024-03-21,25.797027587890625,26.167724609375,52.09495162963867
2024-03-22,25.436311721801758,26.42426872253418,51.495094299316406
2024-03-25,25.436311721801758,26.827407836914062,51.385257720947266
2024-03-26,25.94171714782715,26.578195571899414,50.734703063964844
2024-03-27,26.085039138793945,26.790760040283203,51.19938659667969
2024-03-28,26.130298614501953,27.384483337402344,51.393707275390625
2024-04-01,25.23795509338379,27.597049713134766,51.723209381103516
2024-04-02,25.268142700195312,28.308042526245117,52.33151626586914
2024-04-03,25.079456329345703,28.161453247070312,51.5795783996582
2024-04-04,24.747385025024414,27.838937759399414,51.00506591796875
2024-04-05,24.702096939086914,27.92689323425293,50.44744873046875
2024-04-08,25.071910858154297,28.315380096435547,53.201744079589844
2024-04-09,25.336061477661133,28.3886775970459,52.846893310546875
2024-04-10,24.800207138061523,29.0190486907959,52.04426193237305
2024-04-11,24.75493049621582,28.806482315063477,52.2639274597168
2024-04-12,24.498323440551758,28.5426025390625,52.06960678100586
2024-04-15,24.083221435546875,28.813814163208008,52.37376022338867
2024-04-16,23.902088165283203,28.945755004882812,51.90908432006836
2024-04-17,23.91718292236328,29.158313751220703,52.47514724731445
2024-04-18,23.947372436523438,29.20962142944336,52.669471740722656
2024-04-19,23.811519622802734,29.708057403564453,53.53123474121094
2024-04-22,23.796430587768555,30.419055938720703,53.505897521972656
2024-04-23,24.15114402770996,30.36041259765625,53.04121017456055
2024-04-24,24.045488357543945,30.221153259277344,53.70021057128906
2024-04-25,23.90963363647461,30.946807861328125,52.568084716796875
2024-04-26,24.309640884399414,31.383869171142578,52.568084716796875
2024-04-29,24.12096405029297,31.7606258392334,53.98747253417969
2024-04-30,23.66812515258789,31.66266441345215,53.47209930419922
2024-05-02,24.013717651367188,31.78322982788086,54.00436782836914
2024-05-03,24.315776824951172,31.37891387939453,54.063507080078125
2024-05-06,24.466812133789062,31.59130859375,54.22404098510742
2024-05-07,24.972761154174805,31.976760864257812,54.56198501586914
2024-05-08,25.131332397460938,32.464473724365234,54.063507080078125
2024-05-09,24.37618637084961,32.77912902832031,54.502845764160156
