Date,ITUB4.SA,PETR4.SA,VALE3.SA
2024-01-15,24.235261917114258,28.278728485107422,57.86246871948242
2024-01-16,23.894731521606445,27.926895141601562,57.11037826538086
2024-01-17,23.909229278564453,27.76563835144043,56.08332443237305
2024-01-18,23.80779457092285,27.655691146850586,55.8002815246582
2024-01-19,23.86575698852539,27.509090423583984,55.07244873046875
2024-01-22,23.47450828552246,27.63370132446289,54.82984161376953
2024-01-23,23.583192825317383,27.97820472717285,55.9620246887207
2024-01-24,23.47450828552246,27.76563835144043,56.52811050415039
2024-01-25,23.423791885375977,28.791818618774414,55.13714599609375
2024-01-26,23.77156639099121,29.290250778198242,56.20463562011719
2024-01-29,23.648395538330078,29.73737907409668,55.93776321411133
2024-01-30,23.49624252319336,29.55413055419922,55.62236785888672
2024-01-31,23.749826431274414,29.87664794921875,54.7974967956543
2024-02-01,23.6973876953125,30.470369338989258,54.54679870605469
2024-02-02,23.733627319335938,30.074554443359375,53.43887710571289
2024-02-05,24.183073043823242,30.206485748291016,52.97792434692383
2024-02-06,25.219697952270508,30.485029220581055,53.91600799560547
2024-02-07,25.038471221923828,30.932153701782227,54.02114486694336
2024-02-08,24.545530319213867,30.682931900024414,53.54401397705078
2024-02-09,24.85723876953125,30.2724609375,53.30948257446289
2024-02-14,24.85723876953125,30.045236587524414,53.14774703979492
2024-02-15,25.067462921142578,31.005451202392578,52.97792434692383
2024-02-16,25.038471221923828,31.29131507873535,54.99158477783203
2024-02-19,25.313936233520508,31.44524383544922,54.579139709472656
2024-02-20,25.86487579345703,31.11539649963379,53.38227081298828
2024-02-21,25.719886779785156,31.15937614440918,53.786617279052734
2024-02-22,25.573997497558594,30.924819946289062,54.36079788208008
2024-02-23,25.648855209350586,30.712257385253906,54.49018859863281
2024-02-26,25.72372055053711,31.29131507873535,53.1720085144043
2024-02-27,26.038158416748047,31.247339248657227,54.5710563659668
2024-02-28,26.053133010864258,29.634763717651367,53.972618103027344
2024-02-29,25.409292221069336,29.422189712524414,54.17479705810547
2024-03-01,25.519882202148438,29.451507568359375,54.08583450317383
2024-03-04,25.325132369995117,29.378211975097656,53.96453857421875
2024-03-05,25.302663803100586,29.290250778198242,53.25287628173828
2024-03-06,25.57980728149414,29.935283660888672,53.980709075927734
2024-03-07,25.310152053833008,29.60543441772461,53.79470443725586
2024-03-08,25.542356491088867,26.900707244873047,53.38227081298828
2024-03-11,25.669696807861328,26.131072998046875,51.72443389892578
2024-03-12,25.774564743041992,26.98866844177246,51.402156829833984
2024-03-13,26.029237747192383,26.666156768798828,51.73165512084961
2024-03-14,26.01425552368164,26.54887580871582,51.072654724121094
2024-03-15,25.871932983398438,26.62217140197754,50.48969268798828
2024-03-18,25.976802825927734,26.636831283569336,51.452850341796875
2024-03-19,26.01425552368164,26.43892478942871,51.87528991699219
2024-03-20,26.066688537597656,26.900707244873047,52.22168731689453
2024-03-21,25.797027587890625,26.1677188873291,52.09495162963867
2024-03-22,25.436307907104492,26.424264907836914,51.495094299316406
2024-03-25,25.436307907104492,26.827407836914062,51.38526153564453
2024-03-26,25.94171714782715,26.57819175720215,50.734703063964844
2024-03-27,26.085037231445312,26.790760040283203,51.19938659667969
2024-03-28,26.13030242919922,27.384483337402344,51.39371109008789
2024-04-01,25.237953186035156,27.597049713134766,51.72320556640625
2024-04-02,25.268138885498047,28.30805206298828,52.33151626586914
2024-04-03,25.079456329345703,28.161447525024414,51.5795783996582
2024-04-04,24.747373580932617,27.83893585205078,51.005062103271484
2024-04-05,24.70209503173828,27.926895141601562,50.44744873046875
2024-04-08,25.07191276550293,28.315380096435547,53.20174026489258
2024-04-09,25.33606719970703,28.38867950439453,52.846893310546875
2024-04-10,24.800212860107422,29.019044876098633,52.04425811767578
2024-04-11,24.754924774169922,28.806480407714844,52.26393127441406
2024-04-12,24.498319625854492,28.542604446411133,52.06960678100586
2024-04-15,24.083219528198242,28.813812255859375,52.37376403808594
2024-04-16,23.90209197998047,28.94575309753418,51.909080505371094
2024-04-17,23.917192459106445,29.158313751220703,52.47514724731445
2024-04-18,23.947372436523438,29.20962142944336,52.669471740722656
2024-04-19,23.8115234375,29.708053588867188,53.53124237060547
2024-04-22,23.79643440246582,30.419063568115234,53.50589370727539
2024-04-23,24.15114974975586,30.36042022705078,53.04121017456055
2024-04-24,24.045490264892578,30.22115135192871,53.70021438598633
2024-04-25,23.909637451171875,30.94681167602539,52.568084716796875
2024-04-26,24.30963897705078,31.383869171142578,52.568084716796875
2024-04-29,24.120960235595703,31.760623931884766,53.98747634887695
2024-04-30,23.66812515258789,31.66266632080078,53.47209930419922
2024-05-02,24.01371955871582,31.783231735229492,54.00436782836914
2024-05-03,24.315778732299805,31.378917694091797,54.063514709472656
2024-05-06,24.46681022644043,31.591304779052734,54.224037170410156
2024-05-07,24.972759246826172,31.97675895690918,54.56199264526367
2024-05-08,25.13134002685547,32.46446990966797,54.063514709472656
2024-05-09,24.376188278198242,32.77912521362305,54.50285339355469
2024-05-10,24.655595779418945,32.70833206176758,54.31697463989258
2024-05-13,24.957653045654297,32.73978805541992,54.638023376464844
2024-05-14,25.229511260986328,32.149818420410156,54.60422897338867
2024-05-15,25.161550521850586,30.206829071044922,54.44370651245117
2024-05-16,25.086029052734375,29.3257999420166,54.840797424316406
2024-05-17,25.09358024597168,28.86168098449707,55.913787841796875
2024-05-20,25.01806640625,28.908876419067383,55.88844299316406
2024-05-21,24.88968849182129,28.853816986083984,55.72791290283203
2024-05-22,24.50456428527832,29.247133255004883,55.28858184814453
