Price,Close,Close,Close,High,High,High,Low,Low,Low,Open,Open,Open,Volume,Volume,Volume
Ticker,ITUB4.SA,PETR4.SA,VALE3.SA,ITUB4.SA,PETR4.SA,VALE3.SA,ITUB4.SA,PETR4.SA,VALE3.SA,ITUB4.SA,PETR4.SA,VALE3.SA,ITUB4.SA,PETR4.SA,VALE3.SA
Date,,,,,,,,,,,,,,,
2024-01-15,24.235261917114258,28.278728485107422,57.86246871948242,24.32220271280295,28.308045931993977,57.983768744265966,24.039640429681956,27.750975295297554,57.17506900629913,24.177299299040577,27.84626468704262,57.595596325179926,11169567,13818300,12745700
2024-01-16,23.894731521606445,27.926895141601562,57.11037826538086,24.32219871391961,28.43265961930069,58.05655548712423,23.87299632625782,27.912237814135295,56.81924586332299,24.05412712939146,28.30072130304289,57.90290056106885,40226258,31277700,22620300
2024-01-17,23.909229278564453,27.76563835144043,56.08332443237305,24.025152964389225,27.963545818536563,56.980981616514285,23.78606104737425,27.721657982263768,55.80028076392519,23.83677756206564,27.83160750713914,56.827326695118636,30594852,27577300,43086400
2024-01-18,23.80779457092285,27.655691146850586,55.8002815246582,24.054132581649522,27.956216704440163,56.93246238377406,23.72085220411079,27.531084284594495,55.8002815246582,24.054132581649522,27.956216704440163,56.77071873539219,25613957,22987200,30490600
2024-01-19,23.86575698852539,27.509090423583984,55.07244873046875,23.938210269761683,27.780298506284865,56.21271827718248,23.699116790248574,27.289194169714204,55.03201744711261,23.873003099504572,27.714329350510674,56.20462955255561,36066109,31745200,60583000
2024-01-22,23.47450828552246,27.63370132446289,54.82984161376953,24.032389767398794,27.714330606968154,54.97540780519999,23.162963186665973,27.289195406897747,54.271836851637914,23.872995729310105,27.48710288319266,54.58722923808909,41153165,22753700,23318900
2024-01-23,23.583192825317383,27.97820472717285,55.9620246887207,23.633909338723658,28.12480316991691,56.42298333613473,23.307875057029346,27.435794123992398,55.35549982791857,23.60492959228513,27.736319673357983,55.75984973511999,24343524,32498500,33886800
2024-01-24,23.47450828552246,27.76563835144043,56.52811050415039,23.959938074241265,28.249411227853454,57.28020147514138,23.409301135396436,27.68500907268283,56.40680431465718,23.69910947373717,28.06616388381621,56.851591619502585,26632184,25415300,36922100
2024-01-25,23.423791885375977,28.791818618774414,55.13714599609375,23.670129835139228,28.791818618774414,56.94054904849433,23.36583084374907,27.94888260702996,54.47401248644425,23.60492268473982,28.04416920218438,56.60897920872504,17399934,48655300,47637000
2024-01-26,23.77156639099121,29.290250778198242,56.20463562011719,23.84401809529888,29.3855401669312,56.455330581611975,23.43828604603856,28.520612598142062,54.587236033926764,23.460021244188688,28.659879553880852,54.91071718514281,16393377,41378200,27397200
2024-01-29,23.648395538330078,29.73737907409668,55.93776321411133,23.82228023552498,29.75203919730712,56.19654690113622,23.510735123530875,29.194968495973264,55.177589604038694,23.699110473110466,29.319575349063136,56.19654690113622,9956124,30547500,15866100
2024-01-30,23.49624252319336,29.55413055419922,55.62236785888672,23.720845267969356,29.861987537124463,56.28550140758077,23.423790832987198,29.356223092918523,54.90262557444645,23.597677081476768,29.44418103255467,56.12376392541713,23823364,34829000,34371300
2024-01-31,23.749826431274414,29.87664794921875,54.7974967956543,24.148313882766512,30.228485336365353,55.46063034395656,23.52522523871721,29.451515533626832,54.79749679565429,23.53247134759943,29.488164445915878,55.07245174914792,27023862,57978900,34753400
2024-02-01,23.6973876953125,30.470369338989258,54.54679870605469,23.965605344955314,30.697597061123382,55.209932291174425,23.37117619355523,29.81067775610482,54.304192469482956,23.762628429109334,29.89130703802766,54.88645730907878,26301462,61629200,21060300
2024-02-02,23.733627319335938,30.074554443359375,53.43887710571289,23.84236341587363,30.624296498041105,54.40122554326461,23.33492516558924,30.067225779595333,53.30139963890394,23.740875765816753,30.477700853698792,54.39314298866809,25338865,36485600,32589900
2024-02-05,24.183073043823242,30.206485748291016,52.97792434692383,24.19032149022784,30.55099158401664,53.5359229999312,23.77712244786435,30.00124965694743,52.848529420499716,23.83511471876381,30.059887341846157,53.29331676772051,21139400,27703000,24103300
2024-02-06,25.219697952270508,30.485029220581055,53.91600799560547,25.277690223046317,31.04209993360173,54.11010036764412,24.12507915493124,30.250472836558384,53.196265749823915,24.32805445247791,30.382411152087716,53.4307894052871,76215210,35474600,27505600
2024-02-07,25.038471221923828,30.932153701782227,54.02114486694336,25.277693481920114,30.932153701782227,54.23140235611609,24.719511341704298,30.36042005986238,53.77853247803408,25.00947586607487,30.433720678638107,54.03731614692228,53422083,30648100,19863400
2024-02-08,24.545530319213867,30.682931900024414,53.54401397705078,25.255943921692147,31.115395689773656,54.57914875241664,24.545530319213867,30.682931900024414,53.34992774914216,24.95873096276801,31.00544617863332,54.57914875241664,55241227,25589100,25812100
2024-02-09,24.85723876953125,30.2724609375,53.30948257446289,24.94422795057634,31.02744190283211,53.85130989097423,24.45853665930767,30.2724609375,52.872783997458676,24.560024298285953,30.888172130634658,53.45504876679763,30560069,30388000,18534800
